interview_id,candidate_id,req_id,interview_date,interview_type,interviewer_role,skill_focus,interview_score,recommendation
I3039,C4974,R1134,2024-10-22,Phone,HR Director ,Adaptability,4.6,strong hire
I3040,C3006,R1028,2024-02-23,In-Person,ops director,Personality ,3.9,STRONG HIRE
I3041,C3823,R1109,2024-07-10,Video Call,Engineering Lead ,Communication,4.8,Hire
I3042,C2366,R1036,2024-04-09,In-Person ,Ops Director,Adaaptability,4.9,Strong Hire 
I3043,C2518,R1039,2024-05-07,In-Peerson,recruiter,Technical skills,4.5,Strong Hire
I3044,C4181,R1025,2024-01-22,Phone,ENGINEERING LEAD,Teamwork ,3.4,Hiree
I3045,C4350,R1027,2024-03-10,Phone ,ops director,adaptability,2.6,No Hire
I3046,C3226,R1113,2024-07-13,Phone,HR Direector,Technical Skills ,4.8,Neutral
I3047,C3646,R1085,2024-04-17,Phone,Recruiter,Teamwork ,3.8,Neutral
I3048,C3446,R1120,2024-07-06,Phone,Recruiter ,Problem Solving ,4.9,neutral
I3049,C4592,R1067,2024-10-26,Video Caall,hr director,Teamwork ,4.7,Neutral
I3050,C3996,R1075,2024-07-20,IN-PERSON,Engineering Lead ,adaptability,2.8,No hire
I3051,C4780,R1008,2024-10-05,In-Person,Hr director,Leaadership,3.0,STRONG HIRE
I3052,C4435,R1083,2024-05-10,Videeo Call,Marketing Manager,Personality,3.2,Strong Hiree
I3053,C3050,R1089,2024-06-20,Phonee,Recruiter,Technicaal Skills,4.9,No hire
I3054,C4193,R1137,2024-12-08, In-Person, Marketing Manager,Technical Skills ,4.9,Strong hire
I3055,C4294,R1053,2024-04-16,In-Person,HR Director,Communication,3.2,Neeutral
I3056,C3729,R1041,2024-04-18,phone, Engineering Lead, Teamwork,3.6,Hire 
I3057,C2088,R1011,2024-03-29,In-Peerson,Ops Director,Leaadership,3.5,STRONG HIRE
I3058,C4071,R1096,2024-12-27, In-Person,Ops Director, Adaptability,4.7,no hire
I3059,C2971,R1021,2024-11-24,Video Caall,HR Director,Technicaal Skills,3.2,Hire
I3060,C3740,R1146,2024-06-05,in-person,Reecruiter, Adaptability,4.4,Strong hire
I3061,C2853,R1098,2024-04-29,in-person,Ops Director,Communicaation,3.6,No hire
I3062,C2878,R1022,2024-11-14, Video Call,Maarketing Manager, Technical Skills,2.7,Strong Hire
I3063,C2461,R1010,2024-06-27,Video call,Ops Direector,TECHNICAL SKILLS,3.9,NEUTRAL
I3064,C3083,R1040,2024-11-08,Phone,engineering lead,TEAMWORK,4.7,hire
I3065,C2142,R1097,2024-01-11,In-Person ,Maarketing Manager,Communication,3.2,no hire
I3066,C2231,R1011,2024-10-09,In-Person, Ops Director,Technical skills,2.9,No hire
I3067,C4634,R1113,2024-05-21,Phone,Ops Director, Teamwork,2.7,HIRE
I3068,C4228,R1049,2024-04-03,Video Call,Ops Director,Communication,5.0,Neutral
I3069,C2726,R1023,2024-12-21,video call, Marketing Manager,ADAPTABILITY,3.0, Strong Hire
I3070,C4644,R1008,2024-04-08,In-person,HR Direector,technical skills,3.8,Strong Hire
I3071,C3251,R1105,2024-08-17,Videeo Call,Reecruiter,Communication,3.7,Hiree
I3072,C4844,R1140,2024-07-19,IN-PERSON,RECRUITER,Adaptability,2.6,No hire
I3073,C3696,R1113,2024-06-22,IN-PERSON,Recruiter ,Communication,4.9,Strong Hire
I3074,C3904,R1128,2024-01-14,Video Call ,Recruiter,Technicaal Skills,3.1,No Hire
I3075,C3889,R1018,2024-02-17,Phone,Recruiter,Adaptability,4.1,HIRE
I3076,C2447,R1078,2024-03-13,Phonee,Ops Director,Teaamwork,4.7,Neutraal
I3077,C2760,R1099,2024-02-26,Phone,Engineering Lead , Adaptability,4.4,Strong Hire
I3078,C4332,R1064,2024-03-15,phone,Marketing Manager, Leadership,3.3,Neutral
I3079,C2923,R1045,2024-03-14, Video Call,HR DIRECTOR,PERSONALITY,2.7,Neutral
I3080,C3402,R1040,2024-06-05,Phone, Ops Director,adaptability,2.9, Strong Hire
I3081,C3827,R1042,2024-02-18,VIDEO CALL,Marketing Manager,COMMUNICATION,3.6,No Hire 
I3082,C2920,R1123,2024-12-12,Phone,marketing manager,Teaamwork,4.0,No Hire
I3083,C2548,R1081,2024-10-21,Video Call ,Engineering Lead ,Teechnical Skills,2.6,strong hire
I3084,C4733,R1035,2024-11-06,Phone ,ops director,Communication,3.9, Neutral
I3085,C4194,R1015,2024-01-31, Video Call,Markeeting Manager,Adaptability,2.8,Neeutral
I3086,C2039,R1132,2024-12-02, In-Person,Engineering Leaad,Personality,3.8,Hire
I3087,C4283,R1050,2024-08-11,phone,Ops Director, Leadership,4.0,hire
I3088,C3231,R1135,2024-05-22,Phone,Marketing manager,LEADERSHIP,4.6,No hire
I3089,C4213,R1030,2024-05-20,Videeo Call,Engineering Leaad,TECHNICAL SKILLS,2.8,Neutral 
I3090,C3768,R1098,2024-01-08,PHONE,RECRUITER,TECHNICAL SKILLS,3.0,NEUTRAL
I3091,C3471,R1049,2024-05-29,Video Call,Hr director,Technical Skills,2.6,Neutral
I3092,C4925,R1025,2024-05-09,Video Caall,hr director,Problem Solving,2.5,strong hire
I3093,C2487,R1077,2024-04-13,Video Call,recruiter,LEADERSHIP,4.6,Hire
I3094,C3870,R1060,2024-10-05,In-Person,Ops Director,Leadership,3.9, No Hire
I3095,C2336,R1056,2024-12-16,In-Peerson, Marketing Manager,Leadership,2.6, Strong Hire
I3096,C2897,R1114,2024-09-24,Phonee,recruiter,Teamwork,4.9,strong hire
I3097,C2348,R1006,2024-03-17,video call,Ops Director , Teamwork,3.3, Hire
I3098,C2074,R1131,2024-07-30, Phone,recruiter,Personality,3.3, Hire
I3099,C3683,R1101,2024-08-09,Phone,Engineeering Lead, Problem Solving,3.2,No Hiree
I3100,C3808,R1047,2024-12-27,Phone,Recruiter,PROBLEM SOLVING,3.2,STRONG HIRE
I3101,C4208,R1130,2024-03-17,PHONE,Hr director,Problem Solving,4.0,No Hire
I3102,C3601,R1071,2024-08-27,Phone,Ops Director ,problem solving,3.7,NO HIRE
I3103,C2931,R1009,2024-01-05,Video call, Marketing Manager,Communication,3.4,Neutral
I3104,C3206,R1110,2024-10-08,PHONE,ops director,ADAPTABILITY,3.9,no hire
I3105,C2475,R1033,2024-12-06,In-Peerson,RECRUITER,Adaptability ,3.4, Strong Hire
I3106,C3628,R1068,2024-07-28,Phone,Recruiter,PROBLEM SOLVING,3.0,No Hiree
I3107,C2096,R1062,2024-03-30,phone,Hr director,PROBLEM SOLVING,3.6,strong hire
I3108,C2821,R1038,2024-01-06,Phonee,Recruiter ,TECHNICAL SKILLS,2.6,No Hire 
I3109,C4038,R1127,2024-12-01,In-Peerson,Marketing Manager , Communication,3.3, Strong Hire
I3110,C2727,R1083,2024-11-14,Phone,Marketing manager, Adaptability,3.5,strong hire
I3111,C2360,R1101,2024-03-17,Video call,Recruiter ,Leadership,4.9,No Hire
I3112,C3062,R1074,2024-06-11,Phone ,Ops Direector,Technicaal Skills,5.0,HIRE
I3113,C2415,R1121,2024-12-26,IN-PERSON,MARKETING MANAGER,Leaadership,5.0,Neeutral
I3114,C3586,R1027,2024-10-06,Videeo Call,HR DIRECTOR,personality,4.9,Neeutral
I3115,C3810,R1021,2024-11-23, In-Person, Ops Director,Leaadership,4.6,Hire
I3116,C2850,R1103,2024-03-15,Video Call,Reecruiter, Technical Skills,3.8, Neutral
I3117,C2514,R1045,2024-10-07,Phone ,Engineering lead,Personality,3.3,Neeutral
I3118,C2624,R1051,2024-07-01,PHONE,Recruiter ,Adaptability,4.6,NO HIRE
I3119,C3051,R1071,2024-02-21,IN-PERSON,Reecruiter, Teamwork,4.5,strong hire
I3120,C4746,R1110,2024-04-29,In-Person,hr director,PROBLEM SOLVING,3.7,Strong Hiree
I3121,C3256,R1033,2024-10-01,Phone , Ops Director,PROBLEM SOLVING,4.3,No Hiree
I3122,C2095,R1043,2024-02-16,Videeo Call,Engineering Lead,personality,4.5,STRONG HIRE
I3123,C2659,R1043,2024-12-28, Video Call, HR Director,TECHNICAL SKILLS,3.1,strong hire
I3124,C3644,R1057,2024-01-28, Phone,Ops Direector,Technical skills,3.7,Strong Hiree
I3125,C2239,R1125,2024-02-15,PHONE,Recruiter,Technicaal Skills,3.9,strong hire
I3126,C3130,R1020,2024-10-28,Phone, HR Director,leadership,3.1,neutral
I3127,C3911,R1069,2024-12-16,In-Peerson,recruiter,Teeamwork,4.7,Hire 
I3128,C4929,R1133,2024-07-05,In-Person, Ops Director, Technical Skills,4.6,Neutral 
I3129,C2038,R1127,2024-01-12,in-person,Recruiter,Leadership ,3.1,hire
I3130,C3935,R1011,2024-08-27,Phone,Ops Director,LEADERSHIP,4.4,Strong hire
I3131,C2458,R1026,2024-03-07,video call,Marketing Manager,problem solving,4.4,NEUTRAL
I3132,C2830,R1117,2024-04-26,In-Peerson,Engineering Leaad,leadership,3.8,Neutral 
I3133,C2165,R1061,2024-06-29,Videeo Call,ops director,TECHNICAL SKILLS,4.5,Strong Hire 
I3134,C3906,R1008,2024-03-10,In-Person,RECRUITER, Teamwork,4.2,No hire
I3135,C2873,R1047,2024-10-09,VIDEO CALL,hr director,Leadership,4.5,Neeutral
I3136,C3443,R1062,2024-08-11, Video Call,Maarketing Manager,Teechnical Skills,4.5,no hire
I3137,C4538,R1063,2024-07-27,in-person,HR Director ,TEAMWORK,2.7,strong hire
I3138,C3221,R1124,2024-11-28,Phonee,Recruiter,Leadership,3.0,No Hire
I3139,C4140,R1085,2024-05-27,VIDEO CALL,Engineering lead,teamwork,4.1,HIRE
I3140,C4219,R1046,2024-01-08,video call,HR Director, Technical Skills,4.8,neutral
I3141,C3295,R1115,2024-12-23,Phone,hr director,personality,3.4,No Hiree
I3142,C3191,R1118,2024-06-15,Video call,HR Director , Communication,3.9,Strong Hire
I3143,C2069,R1007,2024-06-12, Phone,Markeeting Manager,PERSONALITY,3.7,neutral
I3144,C3935,R1011,2024-02-20,Phone ,engineering lead,communication,4.8,Neutral 
I3145,C2548,R1081,2024-07-11,Phone ,Ops Director,problem solving,3.4,NO HIRE
I3146,C4619,R1078,2024-08-10,Phone,Hr director,Teeamwork,2.5, No Hire
I3147,C3514,R1037,2024-01-14,Videeo Call,Maarketing Manager,Communication,3.4,neutral
I3148,C3886,R1127,2024-09-29,Phone,Ops Director,Technical Skills ,3.5,No Hire
I3149,C4626,R1008,2024-04-05,Phone,Recruiter,Technicaal Skills,3.3,Hire
I3150,C3811,R1128,2024-03-23,video call,Engineering Lead ,Teaamwork,4.2,Neutral
I3151,C4304,R1000,2024-10-11,Phone ,Engineeering Lead,Teeamwork,5.0,NEUTRAL
I3152,C4114,R1123,2024-12-15,Video Call,Markeeting Manager, Leadership,2.8,Neeutral
I3153,C2847,R1084,2024-08-01,Phone,Recruiter,Personality,4.3,Neutraal
I3154,C4832,R1024,2024-07-27,Phone ,OPS DIRECTOR,Communication,4.3,Neutral
I3155,C4751,R1049,2024-04-30,In-Person,Engineeering Lead,Problem solving,2.9,No Hire 
I3156,C3063,R1121,2024-11-01,Phone ,RECRUITER,Leadership,3.9,Strong Hire 
I3157,C3840,R1127,2024-09-13, Video Call,Recruiter ,Communication ,3.5,Strong Hire
I3158,C4438,R1132,2024-05-03,Video Caall,Engineering Lead ,PERSONALITY,3.6,Strong Hire
I3159,C4158,R1055,2024-04-15,VIDEO CALL,HR Director,Communication,4.4,Hire
I3160,C2738,R1050,2024-07-08,PHONE,HR DIRECTOR,leadership,2.8,Strong Hire
I3161,C4667,R1120,2024-03-21,Videeo Call,ops director,leadership,3.6, Strong Hire
I3162,C4526,R1111,2024-07-10,In-Person , Recruiter,Peersonality,3.9,Hire
I3163,C2719,R1140,2024-10-18,Phonee,Ops Director,COMMUNICATION,3.0,Hiree
I3164,C4251,R1122,2024-08-04,phone,ENGINEERING LEAD,Teeamwork,3.2,Strong Hire
I3165,C4237,R1059,2024-04-09,phone,Maarketing Manager,Adaptability,4.8,Strong Hiree
I3166,C3825,R1149,2024-04-03,Phone ,Recruiter,Personality,3.0,Neutraal
I3167,C3039,R1048,2024-10-15,Videeo Call,Ops director,adaptability,4.7,NEUTRAL
I3168,C3141,R1142,2024-06-15,Videeo Call,HR Director,Problem solving,4.9,Strong Hiree
I3169,C3065,R1021,2024-08-24,PHONE,Engineering Lead ,Technical skills,4.3,HIRE
I3170,C4870,R1073,2024-11-29,Phone,hr director,communication,4.6,Hire 
I3171,C2195,R1101,2024-11-26,Videeo Call,RECRUITER,Adaptability,4.3,Neeutral
I3172,C3356,R1013,2024-01-12,Phone, HR Director,Personality,4.0,No Hire 
I3173,C3854,R1111,2024-07-30,In-Person,Ops Direector,Personality,3.5,Neutral 
I3174,C2088,R1011,2024-03-25,Phone,Ops Director,teamwork,3.9,Hire
I3175,C2762,R1133,2024-03-29,Phone ,Engineering lead,Problem Solving,3.2,Strong hire
I3176,C2642,R1041,2024-02-04,Video call,Hr director,Communication,4.9,Hire 
I3177,C2166,R1136,2024-05-25,Phone ,Engineering Lead ,Adaptability,2.8,Hire 
I3178,C3345,R1142,2024-05-05,In-Person,HR Direector, Problem Solving,4.2,Hire
I3179,C2789,R1021,2024-10-15, Phone,HR Direector,Communication,2.8,Strong Hire 
I3180,C4205,R1075,2024-10-23,In-person,RECRUITER, Adaptability,4.4,STRONG HIRE
I3181,C2235,R1110,2024-05-04,Video Call ,Ops Direector,PERSONALITY,4.9,STRONG HIRE
I3182,C4033,R1100,2024-02-03,Video call,Recruiter, Leadership,4.0,NO HIRE
I3183,C2060,R1018,2024-11-14,VIDEO CALL, Ops Director,teamwork,3.9,Neutral 
I3184,C2400,R1124,2024-07-09,IN-PERSON,HR Direector,leadership,4.3,Strong Hire
I3185,C2950,R1038,2024-05-08,In-Peerson,HR Direector, Adaptability,3.7,Hiree
I3186,C3569,R1063,2024-01-03,PHONE,Reecruiter,Technicaal Skills,4.5,Hire
I3187,C4339,R1134,2024-12-27,IN-PERSON, Ops Director,PERSONALITY,3.2,HIRE
I3188,C2433,R1056,2024-03-12,Phone ,HR Director ,Personality,3.3,No hire
I3189,C2411,R1051,2024-10-29,in-person,Engineering lead,Teamwork,3.8,Neutraal
I3190,C3888,R1107,2024-03-19,IN-PERSON,Engineering Leaad,PROBLEM SOLVING,3.4,NO HIRE
I3191,C2382,R1122,2024-10-04,In-person,Engineering Lead ,teamwork,4.0, Strong Hire
I3192,C3978,R1033,2024-04-30,Video Call,Maarketing Manager,Teeamwork,4.6,Hire
I3193,C2696,R1138,2024-08-09,In-Peerson,engineering lead,Personality,2.9, Neutral
I3194,C3126,R1092,2024-12-24,Phone ,Ops Director ,Teamwork,4.6,Hire 
I3195,C3790,R1111,2024-09-03,In-Person,HR Direector,ADAPTABILITY,2.5,No Hiree
I3196,C2513,R1094,2024-03-27,IN-PERSON, Engineering Lead,Communication ,4.3,Strong Hiree
I3197,C4275,R1051,2024-03-27,PHONE,HR Director ,technical skills,3.8,No Hiree
I3198,C3228,R1112,2024-03-27,VIDEO CALL,Ops Direector, Communication,4.7,strong hire
I3199,C2665,R1034,2024-07-20, Phone, Recruiter,PROBLEM SOLVING,4.0,Strong Hiree
I3200,C2697,R1139,2024-10-24,In-Person,RECRUITER,Leeadership,2.5,No Hire
I3201,C3479,R1087,2024-11-10,Video call,hr director, Leadership,4.1,Strong hire
I3202,C2306,R1065,2024-03-23,phone,Ops director,Communication ,4.4,HIRE
I3203,C3220,R1029,2024-09-27,video call,Recruiter,Leadership,4.2,Neutral
I3204,C2588,R1123,2024-08-30,Video Caall,Recruiter , Leadership,3.5,Neutral
I3205,C3785,R1024,2024-08-25,Phonee,Engineering lead,Teamwork ,2.5,No hire
I3206,C2710,R1106,2024-04-15, Phone,marketing manager,Leeadership,4.1,hire
I3207,C2811,R1106,2024-04-12,video call, Recruiter,personality,4.9,NO HIRE
I3208,C4930,R1073,2024-04-01,Phonee, Engineering Lead, Adaptability,2.8,Hire
I3209,C3900,R1076,2024-12-20,Videeo Call,Ops Director ,Leeadership,4.7,Strong Hiree
I3210,C2853,R1098,2024-06-16, Video Call,HR Director, Adaptability,4.7,Strong Hire
I3211,C3393,R1099,2024-06-02,Phone,recruiter,Adaaptability,4.0,HIRE
I3212,C4856,R1031,2024-02-09,Phone, HR Director,Problem solving,3.6, No Hire
I3213,C4032,R1106,2024-08-17,Phone,Engineering Lead ,Leadership ,4.5, Neutral
I3214,C4335,R1100,2024-08-02,PHONE, Engineering Lead,Adaptability ,4.4,NEUTRAL
I3215,C4291,R1070,2024-11-30,In-Person,Engineering Leaad,Communication,3.8,no hire
I3216,C2049,R1101,2024-02-16,Phone ,HR Director ,Teamwork ,3.7,NO HIRE
I3217,C3600,R1013,2024-09-01, In-Person,HR Director ,Adaptability,4.6,Strong hire
I3218,C4185,R1005,2024-05-30, Phone,Marketing Manager,Personaality,4.6,neutral
I3219,C2909,R1070,2024-10-04, Video Call,Engineering lead,Leadership,3.5,neutral
I3220,C3848,R1090,2024-07-25,In-Person , Marketing Manager,Leaadership,2.8,Neutral
I3221,C4266,R1085,2024-03-17,Phone ,engineering lead,Problem Solving ,4.5,Strong Hire
I3222,C3854,R1111,2024-01-11,VIDEO CALL,ops director, Technical Skills,3.3,Neeutral
I3223,C3188,R1141,2024-08-15,Phone ,Markeeting Manager,Technical Skills ,4.7,Hire
I3224,C3093,R1099,2024-07-26,Video call,HR Director,Leaadership,4.1,Hire
I3225,C3929,R1035,2024-02-11,in-person,OPS DIRECTOR,COMMUNICATION,3.6, Neutral
I3226,C4516,R1015,2024-07-17,Phone,Ops Direector,Personality,3.8,No Hire
I3227,C3928,R1105,2024-01-13,Phonee, HR Director,TEAMWORK,4.2,Neeutral
I3228,C3289,R1118,2024-01-31,In-Person , Recruiter,PROBLEM SOLVING,2.8,Strong Hire
I3229,C3074,R1083,2024-04-05,In-Peerson,Reecruiter,Teaamwork,2.6,Neutral
I3230,C2250,R1144,2024-12-10,Phonee,HR Director,Leadership,4.9,hire
I3231,C4320,R1067,2024-04-29,IN-PERSON,marketing manager,PROBLEM SOLVING,3.5,No hire
I3232,C3899,R1096,2024-10-27,Phone,Reecruiter, Adaptability,4.0,Hiree
I3233,C3195,R1066,2024-02-27,Phone,Hr director,Technical skills,4.9,No Hire
I3234,C3156,R1143,2024-04-07,Videeo Call,Marketing Manager,LEADERSHIP,2.7,No Hire
I3235,C2008,R1061,2024-01-28, Video Call,OPS DIRECTOR,Personality,3.9,No hire
I3236,C4856,R1031,2024-11-20,phone,marketing manager,Leaadership,3.8,Strong Hiree
I3237,C3543,R1130,2024-11-30, In-Person,hr director,Personality,2.8,NO HIRE
I3238,C4093,R1119,2024-07-30,Phone ,Recruiter,Leadership,2.8,STRONG HIRE
I3239,C4583,R1006,2024-08-20,Video Call,Marketing Manager,Communication,3.8,strong hire
I3240,C2652,R1133,2024-09-26,VIDEO CALL,OPS DIRECTOR,Probleem Solving,3.9, No Hire
I3241,C3336,R1037,2024-11-19,Phone,MARKETING MANAGER,Problem Solving ,4.9,Hire
I3242,C3128,R1060,2024-03-28,phone,Marketing Manager,leadership,4.3,neutral
I3243,C3934,R1098,2024-11-15,Videeo Call,HR Director,Problem Solving,3.8,Strong hire
I3244,C2491,R1074,2024-10-31,Video Call,HR Direector, Communication,3.2,Hire 
I3245,C3562,R1108,2024-01-06,IN-PERSON,Engineering Lead ,Problem Solving,4.7,STRONG HIRE
I3246,C3209,R1068,2024-03-20,IN-PERSON,ENGINEERING LEAD,Teamwork ,3.0,strong hire
I3247,C2912,R1125,2024-05-07,Video Call ,HR Director, Communication,3.9,Neutral
I3248,C4498,R1021,2024-12-19,Video Caall,RECRUITER, Adaptability,3.1,NO HIRE
I3249,C3262,R1078,2024-07-07,Phone ,Engineering lead,Teeamwork,3.1,Strong Hire
I3250,C3140,R1096,2024-06-29,In-Person,HR Direector, Adaptability,4.6,hire
I3251,C4936,R1012,2024-03-18,In-Person,Marketing manager,Problem Solving ,3.2,Neeutral
I3252,C2809,R1059,2024-10-26,Phone,Marketing Manager,Leeadership,4.5, Neutral
I3253,C2301,R1041,2024-01-26,Phone , Ops Director,Problem Solving,4.9,HIRE
I3254,C3050,R1089,2024-02-07,Phonee,HR DIRECTOR,LEADERSHIP,2.5,Neeutral
I3255,C3858,R1077,2024-04-20,In-Peerson,Hr director,Peersonality,4.0,Hire
I3256,C3313,R1132,2024-08-10,In-Person,Maarketing Manager,Teaamwork,3.6,Hire 
I3257,C2050,R1006,2024-02-18,video call, HR Director,PROBLEM SOLVING,2.6,No hire
I3258,C3340,R1026,2024-02-04,Phone,ops director,COMMUNICATION,3.5,Strong Hire
I3259,C3186,R1020,2024-01-18,Video Call,Markeeting Manager,communication,4.9,No hire
I3260,C3164,R1041,2024-03-18,in-person, HR Director,Technical Skills,3.0,Neutral 
I3261,C4603,R1116,2024-03-22,In-Person,HR Director,Probleem Solving,4.1, Neutral
I3262,C4732,R1004,2024-06-21,IN-PERSON,Engineering Lead,PERSONALITY,2.6,Hire
I3263,C2950,R1038,2024-03-05,Phone,Markeeting Manager,problem solving,4.1,No Hiree
I3264,C4328,R1042,2024-12-03,In-Person,Engineeering Lead,PROBLEM SOLVING,4.7,Strong Hire
I3265,C3492,R1083,2024-09-02,Phone,Markeeting Manager,leadership,4.8,Neutral 
I3266,C2626,R1138,2024-06-11, In-Person, Recruiter, Communication,3.7,STRONG HIRE
I3267,C2923,R1045,2024-09-07,Phone,Marketing Manager ,Adaptability,2.7,Strong Hire
I3268,C4031,R1069,2024-01-24,PHONE,Recruiter,Personality,3.1,STRONG HIRE
I3269,C2600,R1001,2024-08-23,In-Person ,ops director,Problem solving,3.8,Hire
I3270,C2165,R1061,2024-10-08, Phone, HR Director, Adaptability,3.2, Neutral
I3271,C4494,R1051,2024-04-25, Phone,Markeeting Manager,Technicaal Skills,4.4,NEUTRAL
I3272,C3291,R1054,2024-11-18,Phone,Markeeting Manager,personality,4.4,Strong Hire
I3273,C2139,R1016,2024-02-10,In-Person ,Recruiter,Teamwork,4.9,Hire 
I3274,C3097,R1076,2024-06-25,Videeo Call, HR Director,technical skills,3.9,No Hire
I3275,C3418,R1049,2024-05-07,in-person,Recruiter ,Adaaptability,3.2,Neutral 
I3276,C4466,R1115,2024-05-25,in-person,Marketing Manager,Teaamwork,4.6,Strong Hire
I3277,C2046,R1017,2024-05-07,In-person, Recruiter, Personality,2.8,No Hire
I3278,C4474,R1023,2024-03-23,IN-PERSON,hr director,Adaptability,4.2,Neeutral
I3279,C4995,R1094,2024-12-03,Phone,Ops Director ,Adaptability,4.2,No Hire
I3280,C3821,R1061,2024-07-14,In-Person,HR Direector,PERSONALITY,4.0,no hire
I3281,C3157,R1126,2024-03-08,In-Peerson,Ops director,Adaptability,4.3,No Hiree
I3282,C2819,R1014,2024-09-06,Phone,Ops Director, Personality,4.6,Strong Hiree
I3283,C2174,R1138,2024-04-23,In-Person,RECRUITER,technical skills,4.0, Strong Hire
I3284,C2323,R1100,2024-10-14,Phone,HR Direector,leadership,2.7,No Hire 
I3285,C2192,R1145,2024-05-31,VIDEO CALL,Marketing manager,communication,2.8,Neutral
I3286,C3862,R1074,2024-08-31,IN-PERSON,HR Director,Personality,4.0,Neutral
I3287,C3955,R1019,2024-02-10,Video Call , Engineering Lead,Leadership,4.7,Hire
I3288,C3817,R1025,2024-09-05, Phone,marketing manager,Adaptability ,4.3,No Hiree
I3289,C3587,R1003,2024-07-05,VIDEO CALL,MARKETING MANAGER,Communication ,4.3,Neutral
I3290,C2950,R1038,2024-10-11,PHONE,marketing manager, Teamwork,2.5,No Hire
I3291,C3836,R1089,2024-05-01,Phone,Markeeting Manager,Technical Skills ,4.8,Strong Hiree
I3292,C2170,R1141,2024-11-27,Videeo Call,HR Direector,Adaptability,3.4,hire
I3293,C4593,R1007,2024-01-31, Video Call,recruiter,Technical skills,4.0,STRONG HIRE
I3294,C2971,R1021,2024-12-18,In-Person,HR Director ,Communication,4.0,NO HIRE
