candidate_id,req_id,applied_at,source,final_outcome
C2163,R1085,2024-06-04,Job board,Withdrawn
C2164,R1030,2024-09-02,Referral,Rejected
C2165,R1061,2024-10-09, LinkedIn,Rejected
C2166,R1136,2024-11-28, LinkedIn,Rejected
C2167,R1131,2024-09-11,agency,Rejected
C2168,R1120,2024-06-12,Referral ,Rejected
C2169,R1011,2024-10-15,REFERRAL,Hired
C2170,R1141,2024-10-26, Agency,Rejected
C2171,R1084,2024-04-27,Agency,Rejected
C2172,R1086,2024-05-11,Agency,Rejected
C2173,R1090,2024-03-27,Referraal,Rejected
C2174,R1138,2024-11-24,Job Board,Rejected
C2175,R1019,2024-12-08,Job Board,Rejected
C2176,R1059,2024-02-04,Referral,Rejected
C2177,R1116,2024-07-10,Job Boaard,Rejected
C2178,R1004,2024-01-04,Agency,Hired
C2179,R1070,2024-10-01,LinkedIn,Rejected
C2180,R1110,2024-04-01,job board,Rejected
C2181,R1061,2024-04-08,LinkedIn ,Rejected
C2182,R1101,2024-02-10,LinkeedIn,Rejected
C2183,R1062,2024-12-22, Referral,Rejected
C2184,R1020,2024-11-30,job board,Rejected
C2185,R1096,2024-10-09,Agency,Rejected
C2186,R1043,2024-02-12,Ageency,Rejected
C2187,R1084,2024-10-16,Job Board,Rejected
C2188,R1145,2024-08-31,LinkedIn,Withdrawn
C2189,R1071,2024-10-05,JOB BOARD,Withdrawn
C2190,R1080,2024-01-09,REFERRAL,Rejected
C2191,R1101,2024-02-09,LINKEDIN,Rejected
C2192,R1145,2024-07-18,LinkeedIn,Rejected
C2193,R1035,2024-12-18,Job Board ,Hired
C2194,R1111,2024-04-28,Job Board ,Rejected
C2195,R1101,2024-06-16, Job Board,Rejected
C2196,R1115,2024-09-08,Referral ,Rejected
C2197,R1096,2024-08-09,Reeferral,Hired
C2198,R1075,2024-05-06,job board,Rejected
C2199,R1097,2024-12-30,Reeferral,Rejected
C2200,R1027,2024-02-16, Job Board,Rejected
C2201,R1069,2024-02-22,referral,Rejected
C2202,R1114,2024-10-12,agency,Hired
C2203,R1090,2024-10-10,Job Board ,Rejected
C2204,R1003,2024-05-29,Ageency,Rejected
C2205,R1143,2024-05-04,Reeferral,Rejected
C2206,R1068,2024-06-03,LinkedIn,Hired
C2207,R1042,2024-08-10,LinkeedIn,Rejected
C2208,R1019,2024-07-03,Linkedin,Rejected
C2209,R1126,2024-10-31,Referraal,Hired
C2210,R1077,2024-01-04,Agency ,Rejected
C2211,R1097,2024-06-17,Agency ,Rejected
C2212,R1034,2024-06-02,Linkedin,Rejected
C2213,R1045,2024-07-22, LinkedIn,Rejected
C2214,R1125,2024-10-21,Referral ,Rejected
C2215,R1100,2024-07-05,Job board,Rejected
C2216,R1139,2024-04-02,Job Boaard,Withdrawn
C2217,R1053,2024-08-12,linkedin,Rejected
C2218,R1104,2024-12-10,AGENCY,Rejected
C2219,R1061,2024-05-09,Reeferral,Rejected
C2220,R1018,2024-08-17,Ageency,Rejected
C2221,R1107,2024-10-05,Job Board ,Rejected
C2222,R1137,2024-10-31,job board,Rejected
C2223,R1090,2024-03-26,Job Board,Withdrawn
C2224,R1084,2024-08-08,Job Board,Hired
C2225,R1056,2024-09-18,Referraal,Rejected
C2226,R1118,2024-12-13,Referral ,Withdrawn
C2227,R1123,2024-02-23,LinkeedIn,Withdrawn
C2228,R1021,2024-02-29,Referral ,Rejected
C2229,R1116,2024-04-15,Agency ,Rejected
C2230,R1112,2024-12-22,Agency ,Hired
C2231,R1011,2024-12-29,Job Board,Rejected
C2232,R1027,2024-12-12,Referral,Rejected
C2233,R1141,2024-03-22,LinkeedIn,Withdrawn
C2234,R1059,2024-07-26,REFERRAL,Rejected
C2235,R1110,2024-07-21,Job board,Rejected
C2236,R1109,2024-07-18,Job board,Rejected
C2237,R1016,2024-10-22,JOB BOARD,Rejected
C2238,R1050,2024-08-22, Job Board,Rejected
C2239,R1125,2024-09-27,LinkeedIn,Rejected
C2240,R1029,2024-06-27,LinkedIn,Rejected
C2241,R1076,2024-11-10,JOB BOARD,Rejected
C2242,R1061,2024-06-05,JOB BOARD,Rejected
C2243,R1036,2024-09-18,Ageency,Rejected
C2244,R1147,2024-07-15,AGENCY,Rejected
C2245,R1137,2024-12-21,REFERRAL,Rejected
C2246,R1035,2024-04-05,LinkedIn,Rejected
C2247,R1091,2024-01-05,AGENCY,Rejected
C2248,R1098,2024-10-14,Ageency,Rejected
C2249,R1106,2024-12-29,Agency,Rejected
C2250,R1144,2024-01-16, Referral,Hired
C2251,R1057,2024-10-02,LINKEDIN,Rejected
C2252,R1144,2024-09-10,job board,Rejected
C2253,R1139,2024-07-06,Job Boaard,Rejected
C2254,R1108,2024-02-22, Referral,Rejected
C2255,R1008,2024-08-18,LinkedIn ,Rejected
C2256,R1022,2024-08-12,Job board,Rejected
C2257,R1089,2024-12-29,AGENCY,Rejected
C2258,R1052,2024-04-15,Job Board ,Rejected
C2259,R1137,2024-03-27, LinkedIn,Rejected
C2260,R1068,2024-09-20,JOB BOARD,Withdrawn
C2261,R1105,2024-01-31,LINKEDIN,Rejected
C2262,R1033,2024-05-07,Referral ,Rejected
C2263,R1100,2024-09-07, Referral,Rejected
C2264,R1096,2024-08-19,job board,Rejected
C2265,R1071,2024-12-21,LinkedIn,Withdrawn
C2266,R1083,2024-10-24,job board,Rejected
C2267,R1117,2024-11-21,linkedin,Rejected
C2268,R1101,2024-04-21,Agency,Rejected
C2269,R1082,2024-05-25,LINKEDIN,Rejected
C2270,R1124,2024-06-24,Job Board,Hired
C2271,R1117,2024-01-09,JOB BOARD,Rejected
C2272,R1000,2024-08-07,REFERRAL,Rejected
C2273,R1077,2024-03-22,linkedin,Rejected
C2274,R1064,2024-02-12,LINKEDIN,Hired
C2275,R1078,2024-12-24,Reeferral,Rejected
C2276,R1024,2024-01-01,Referraal,Hired
C2277,R1057,2024-09-22,Agency,Hired
C2278,R1087,2024-03-02,AGENCY,Rejected
C2279,R1058,2024-07-15,job board,Hired
C2280,R1094,2024-06-02,Reeferral,Rejected
C2281,R1034,2024-11-24,referral,Rejected
C2282,R1002,2024-11-08,Referraal,Rejected
C2283,R1054,2024-11-17,Reeferral,Rejected
C2284,R1113,2024-04-21,job board,Hired
C2285,R1031,2024-10-28,Agency ,Withdrawn
C2286,R1080,2024-03-12, Referral,Rejected
C2287,R1063,2024-10-10,LinkedIn,Rejected
C2288,R1077,2024-04-15,Reeferral,Rejected
C2289,R1013,2024-05-02,Ageency,Hired
C2290,R1127,2024-11-22,Job Board,Withdrawn
C2291,R1081,2024-03-08,Ageency,Rejected
C2292,R1044,2024-08-29,Job Board,Rejected
C2293,R1003,2024-05-14,Referral,Withdrawn
C2294,R1101,2024-09-16,LinkeedIn,Rejected
C2295,R1102,2024-02-12, Referral,Hired
C2296,R1020,2024-09-18,REFERRAL,Rejected
C2297,R1100,2024-10-27, Job Board,Rejected
C2298,R1061,2024-01-30,referral,Withdrawn
C2299,R1029,2024-08-20, Job Board,Rejected
C2300,R1044,2024-03-02,JOB BOARD,Rejected
C2301,R1041,2024-09-11, LinkedIn,Rejected
C2302,R1032,2024-05-17,Job Board,Rejected
C2303,R1109,2024-05-19, Job Board,Rejected
C2304,R1147,2024-11-17,Job Boaard,Rejected
C2305,R1092,2024-01-29,AGENCY,Rejected
C2306,R1065,2024-02-22,Job board,Rejected
C2307,R1000,2024-01-23,Job board,Hired
C2308,R1093,2024-07-15,REFERRAL,Withdrawn
C2309,R1009,2024-10-10,Agency,Rejected
C2310,R1106,2024-06-12,linkedin,Rejected
C2311,R1030,2024-09-14,JOB BOARD,Rejected
C2312,R1132,2024-01-24,agency,Rejected
C2313,R1072,2024-06-08,linkedin,Rejected
C2314,R1002,2024-07-07, Referral,Rejected
C2315,R1077,2024-11-14,Referraal,Rejected
C2316,R1126,2024-04-10,REFERRAL,Hired
C2317,R1104,2024-01-13,Referral ,Rejected
C2318,R1002,2024-06-20,Job Board,Rejected
C2319,R1078,2024-02-23,Referral,Rejected
C2320,R1015,2024-03-13,linkedin,Hired
C2321,R1059,2024-09-23,Agency ,Rejected
C2322,R1021,2024-10-24,JOB BOARD,Rejected
C2323,R1100,2024-02-08,Job Board,Rejected
C2324,R1033,2024-05-01, LinkedIn,Rejected
C2325,R1100,2024-12-24,LinkedIn ,Rejected
C2326,R1059,2024-02-08,REFERRAL,Rejected
C2327,R1149,2024-02-25,referral,Rejected
C2328,R1119,2024-06-09,agency,Rejected
C2329,R1053,2024-08-19,LinkedIn,Rejected
C2330,R1030,2024-02-16, Referral,Rejected
C2331,R1010,2024-04-20,LINKEDIN,Hired
C2332,R1063,2024-07-01,Agency,Rejected
C2333,R1066,2024-03-30,Job Board,Rejected
C2334,R1142,2024-10-08,referral,Rejected
C2335,R1035,2024-03-03,Job Board,Rejected
C2336,R1056,2024-03-07,Reeferral,Rejected
C2337,R1021,2024-10-25,linkedin,Hired
C2338,R1016,2024-04-11,AGENCY,Hired
C2339,R1084,2024-03-03,Job Boaard,Hired
C2340,R1146,2024-08-09,Agency,Hired
C2341,R1109,2024-03-29,Linkedin,Withdrawn
C2342,R1070,2024-05-23,AGENCY,Hired
C2343,R1062,2024-11-27,LinkedIn,Rejected
C2344,R1140,2024-09-02,job board,Rejected
C2345,R1035,2024-08-02,Referral,Rejected
C2346,R1139,2024-01-10,Agency ,Rejected
C2347,R1124,2024-06-25,LinkeedIn,Rejected
C2348,R1006,2024-06-12,Referral,Rejected
C2349,R1071,2024-01-30,Agency ,Rejected
C2350,R1059,2024-03-22,Job board,Rejected
C2351,R1068,2024-09-30,Job board,Rejected
C2352,R1099,2024-06-30,REFERRAL,Rejected
C2353,R1081,2024-12-23,LinkedIn,Rejected
C2354,R1090,2024-10-17,Referral,Rejected
C2355,R1126,2024-10-04,LINKEDIN,Rejected
C2356,R1023,2024-01-29,Referral,Hired
C2357,R1122,2024-01-01,Linkedin,Rejected
C2358,R1087,2024-03-31,LinkedIn,Hired
C2359,R1036,2024-02-26,linkedin,Rejected
C2360,R1101,2024-10-27,Job Board ,Rejected
C2361,R1034,2024-03-21,Agency,Rejected
C2362,R1044,2024-12-28,Linkedin,Rejected
C2363,R1044,2024-07-12, LinkedIn,Hired
C2364,R1000,2024-12-25,Agency,Rejected
C2365,R1081,2024-11-09,referral,Withdrawn
C2366,R1036,2024-06-18,Job board,Rejected
C2367,R1081,2024-03-26,Job Board ,Rejected
C2368,R1067,2024-04-17,referral,Rejected
C2369,R1027,2024-01-01,Job Board,Rejected
C2370,R1107,2024-03-26,Agency,Rejected
C2371,R1089,2024-10-06,agency,Rejected
C2372,R1147,2024-11-29,REFERRAL,Rejected
C2373,R1008,2024-05-30,Job Board ,Rejected
C2374,R1026,2024-02-07,LINKEDIN,Rejected
C2375,R1041,2024-02-08,Job Board ,Rejected
C2376,R1123,2024-12-26,Job Board,Withdrawn
C2377,R1042,2024-11-06,AGENCY,Hired
C2378,R1084,2024-04-15,Reeferral,Rejected
C2379,R1138,2024-05-15, LinkedIn,Rejected
C2380,R1012,2024-07-20,AGENCY,Hired
C2381,R1000,2024-08-06, Job Board,Rejected
C2382,R1122,2024-04-12,Job Board,Rejected
C2383,R1074,2024-02-11,agency,Rejected
C2384,R1101,2024-08-29, Agency,Hired
C2385,R1139,2024-07-17,Referral ,Rejected
C2386,R1094,2024-04-05,Agency,Rejected
C2387,R1119,2024-05-14, Referral,Rejected
C2388,R1038,2024-12-22,job board,Rejected
C2389,R1138,2024-07-30,Referral,Rejected
C2390,R1133,2024-08-02,Agency,Rejected
C2391,R1020,2024-07-21,JOB BOARD,Hired
C2392,R1114,2024-03-29,Referral,Rejected
C2393,R1032,2024-01-22,agency,Withdrawn
C2394,R1111,2024-04-13, Referral,Rejected
C2395,R1017,2024-02-14,Ageency,Rejected
C2396,R1070,2024-09-23,Agency,Rejected
C2397,R1133,2024-08-02,Job Board,Hired
C2398,R1145,2024-10-28,job board,Rejected
C2399,R1025,2024-05-26,LinkeedIn,Rejected
C2400,R1124,2024-10-19,Agency,Rejected
C2401,R1103,2024-03-14,Agency,Rejected
C2402,R1084,2024-12-19,Referral,Rejected
C2403,R1068,2024-07-09,Job Board ,Rejected
C2404,R1077,2024-06-08,LinkedIn,Rejected
C2405,R1025,2024-04-26, Referral,Withdrawn
C2406,R1113,2024-06-13,LinkeedIn,Rejected
C2407,R1022,2024-04-06,Agency,Withdrawn
C2408,R1104,2024-09-05,LinkedIn,Rejected
C2409,R1040,2024-02-03,LinkeedIn,Hired
C2410,R1134,2024-10-18,JOB BOARD,Rejected
C2411,R1051,2024-01-30,Referral,Rejected
C2412,R1092,2024-12-26, Referral,Rejected
C2413,R1118,2024-09-15,agency,Rejected
C2414,R1061,2024-07-09,Agency,Rejected
C2415,R1121,2024-10-27,LinkedIn ,Rejected
C2416,R1066,2024-12-18, Job Board,Hired
C2417,R1012,2024-03-24,Referral,Rejected
C2418,R1052,2024-05-17,Agency,Rejected
C2419,R1002,2024-08-30,REFERRAL,Rejected
C2420,R1002,2024-04-24, LinkedIn,Rejected
C2421,R1070,2024-08-04,Agency ,Rejected
C2422,R1055,2024-08-26,LinkeedIn,Rejected
C2423,R1001,2024-09-18, LinkedIn,Rejected
C2424,R1027,2024-09-03,Job Board ,Withdrawn
C2425,R1083,2024-05-21, LinkedIn,Rejected
C2426,R1132,2024-05-03,Job Board,Rejected
C2427,R1035,2024-01-14, Agency,Rejected
C2428,R1107,2024-07-26,Agency,Rejected
C2429,R1146,2024-04-07,Linkedin,Rejected
C2430,R1121,2024-12-09, LinkedIn,Rejected
C2431,R1142,2024-04-02,linkedin,Rejected
C2432,R1066,2024-10-13,Referral ,Rejected
C2433,R1056,2024-06-30, Referral,Rejected
C2434,R1084,2024-07-09, LinkedIn,Rejected
C2435,R1030,2024-08-28,job board,Rejected
C2436,R1049,2024-09-13,Job Board,Rejected
C2437,R1105,2024-01-28,REFERRAL,Withdrawn
C2438,R1087,2024-07-28,AGENCY,Rejected
C2439,R1046,2024-02-11,Agency ,Rejected
C2440,R1045,2024-06-09,Job Board,Rejected
C2441,R1053,2024-03-27,Referraal,Rejected
C2442,R1022,2024-03-07,Ageency,Rejected
C2443,R1122,2024-07-15,Job Board,Rejected
C2444,R1095,2024-01-08,Linkedin,Hired
C2445,R1001,2024-11-16,Referral,Rejected
C2446,R1088,2024-06-08,referral,Rejected
C2447,R1078,2024-03-26,Job Board,Rejected
C2448,R1074,2024-08-21,LinkeedIn,Rejected
C2449,R1034,2024-06-24,Agency ,Rejected
C2450,R1042,2024-07-25,Job board,Rejected
C2451,R1033,2024-04-18,JOB BOARD,Hired
C2452,R1009,2024-07-11,LinkedIn,Rejected
C2453,R1012,2024-12-04,Job Board,Hired
C2454,R1029,2024-08-01,Ageency,Hired
C2455,R1064,2024-08-30,Referral,Rejected
C2456,R1002,2024-06-03,agency,Rejected
C2457,R1069,2024-11-14,Reeferral,Rejected
C2458,R1026,2024-09-18, Job Board,Hired
C2459,R1027,2024-09-11,Referral,Rejected
C2460,R1133,2024-04-13,LinkeedIn,Rejected
C2461,R1010,2024-10-07,Agency,Rejected
C2462,R1123,2024-06-18,Referral,Hired
C2463,R1022,2024-02-26,AGENCY,Withdrawn
C2464,R1130,2024-02-08, Job Board,Rejected
C2465,R1116,2024-05-31,LinkedIn,Hired
C2466,R1044,2024-01-21,LinkedIn ,Rejected
C2467,R1080,2024-08-06,job board,Rejected
C2468,R1011,2024-01-05,REFERRAL,Rejected
C2469,R1112,2024-11-14,linkedin,Rejected
C2470,R1087,2024-04-03,Job Board,Rejected
C2471,R1116,2024-05-19,Agency,Rejected
C2472,R1042,2024-02-27,Referral,Withdrawn
C2473,R1040,2024-02-23,Agency,Rejected
C2474,R1112,2024-04-02,Agency ,Rejected
C2475,R1033,2024-09-04,agency,Rejected
C2476,R1112,2024-01-24, Job Board,Rejected
C2477,R1003,2024-12-26,Referral ,Rejected
C2478,R1024,2024-08-09,Referraal,Rejected
C2479,R1098,2024-03-17,Job Board,Rejected
C2480,R1040,2024-09-15,Agency,Rejected
C2481,R1019,2024-09-08,Linkedin,Rejected
C2482,R1071,2024-01-26,Reeferral,Rejected
C2483,R1060,2024-02-10,Agency,Rejected
C2484,R1114,2024-02-15,Agency,Rejected
C2485,R1127,2024-11-30,job board,Rejected
C2486,R1009,2024-10-12,job board,Rejected
C2487,R1077,2024-09-17,Referraal,Withdrawn
C2488,R1093,2024-01-28,Referraal,Rejected
C2489,R1121,2024-12-02,LinkedIn,Hired
C2490,R1056,2024-01-02,LinkedIn ,Rejected
C2491,R1074,2024-10-07,linkedin,Hired
C2492,R1042,2024-09-09,Reeferral,Hired
C2493,R1050,2024-04-06,Job Board,Rejected
C2494,R1048,2024-06-22,Job Board,Hired
C2495,R1031,2024-08-18,AGENCY,Withdrawn
C2496,R1001,2024-09-28,Job Board,Rejected
C2497,R1123,2024-09-17,REFERRAL,Rejected
C2498,R1032,2024-02-23,Agency ,Rejected
C2499,R1098,2024-08-02, Referral,Rejected
C2500,R1087,2024-05-30,AGENCY,Hired
C2501,R1131,2024-06-02,Linkedin,Rejected
C2502,R1074,2024-12-17,LINKEDIN,Withdrawn
C2503,R1045,2024-09-14,linkedin,Rejected
C2504,R1143,2024-09-02, Agency,Rejected
C2505,R1108,2024-01-07,Job Board,Rejected
C2506,R1013,2024-12-09,Job board,Rejected
C2507,R1041,2024-05-26,LINKEDIN,Rejected
C2508,R1075,2024-04-14,Job Board ,Rejected
C2509,R1026,2024-11-11,Reeferral,Rejected
C2510,R1073,2024-12-20,Job Board,Rejected
C2511,R1080,2024-10-09,Job Board,Rejected
C2512,R1051,2024-11-13,Agency,Withdrawn
C2513,R1094,2024-10-28,Referral,Rejected
C2514,R1045,2024-12-15,JOB BOARD,Withdrawn
C2515,R1131,2024-03-02,Agency,Rejected
C2516,R1142,2024-05-15,REFERRAL,Rejected
C2517,R1065,2024-01-03,LinkedIn,Rejected
C2518,R1039,2024-01-21,Referral ,Rejected
C2519,R1077,2024-09-08,linkedin,Rejected
C2520,R1081,2024-09-26,REFERRAL,Rejected
C2521,R1129,2024-03-22,Ageency,Hired
C2522,R1056,2024-04-19,LinkedIn ,Rejected
C2523,R1055,2024-11-12,Agency,Hired
C2524,R1088,2024-08-16,Referral,Withdrawn
C2525,R1082,2024-07-14,Job Board,Rejected
C2526,R1072,2024-01-13,LinkedIn,Rejected
C2527,R1075,2024-11-29,Referral ,Rejected
C2528,R1024,2024-03-26,job board,Rejected
C2529,R1054,2024-12-16,agency,Rejected
C2530,R1111,2024-11-27,JOB BOARD,Hired
C2531,R1084,2024-01-20,job board,Hired
C2532,R1064,2024-10-12,Job board,Withdrawn
C2533,R1104,2024-07-17,Ageency,Rejected
C2534,R1004,2024-07-18,Job Board,Rejected
C2535,R1016,2024-10-26,job board,Rejected
C2536,R1128,2024-02-24, LinkedIn,Rejected
C2537,R1072,2024-08-12,Ageency,Rejected
C2538,R1007,2024-08-30,Referral,Hired
C2539,R1100,2024-10-06,LINKEDIN,Rejected
C2540,R1095,2024-01-06,referral,Hired
C2541,R1146,2024-11-01,agency,Rejected
C2542,R1088,2024-04-18,AGENCY,Rejected
C2543,R1056,2024-11-11,Linkedin,Hired
C2544,R1145,2024-01-28,agency,Rejected
C2545,R1017,2024-05-08,Job board,Rejected
C2546,R1124,2024-06-18,LINKEDIN,Rejected
C2547,R1060,2024-02-21,linkedin,Withdrawn
C2548,R1081,2024-09-05,Agency ,Rejected
